,Explanation Type,Explainer Method,Metric,Value
0,Rationale Explanation,rulexai,Average rule length,1.4
1,Rationale Explanation,rulexai,Fidelity,0.3999999999999999
2,Counterfactual Explanation,dice,Non representativeness,0.0333333333333333
3,Counterfactual Explanation,dice,Diversity,101.00860027834538
4,Counterfactual Explanation,dice,Non representativeness,0.0
5,Counterfactual Explanation,dice,Diversity,93.53886590255964
6,Counterfactual Explanation,dice,Non representativeness,0.0
7,Counterfactual Explanation,dice,Diversity,486.2649698200023
8,Rationale Explanation,rulexai,Average rule length,1.0
9,Rationale Explanation,rulexai,Fidelity,0.3666666666666666
10,Contrastive Explanation,shap,Faithfulness,0.8545733883819395
11,Contrastive Explanation,shap,Monotonicity,0.1
12,Data Explanation,protodash,Diversity,483.60080501644745
13,Data Explanation,protodash,Non representativeness,0.02
14,Data Explanation,protodash,Diversity,483.60080501644745
15,Data Explanation,protodash,Non representativeness,0.02
16,Contrastive Explanation,shap,Faithfulness,0.7549129539770776
17,Contrastive Explanation,shap,Monotonicity,0.1
18,Rationale Explanation,rulexai,Average rule length,1.25
19,Rationale Explanation,rulexai,Fidelity,0.375
20,Data Explanation,protodash,Non representativeness,0.03
21,Data Explanation,protodash,Diversity,483.60080501644745
22,Data Explanation,protodash,Non representativeness,0.02
23,Data Explanation,protodash,Diversity,483.60080501644745
24,Data Explanation,protodash,Non representativeness,0.02
25,Data Explanation,protodash,Diversity,483.60080501644745
26,Rationale Explanation,rulexai,Average rule length,4.906542056074766
27,Rationale Explanation,rulexai,Fidelity,0.2767718068535827
28,Rationale Explanation,rulexai,Average rule length,4.906542056074766
29,Rationale Explanation,rulexai,Fidelity,0.2767718068535827
30,Rationale Explanation,rulexai,Average rule length,1.0
31,Rationale Explanation,rulexai,Fidelity,0.3666666666666667
32,Rationale Explanation,rulexai,Average rule length,1.2
33,Rationale Explanation,rulexai,Fidelity,0.3199999999999999
34,Data Explanation,protodash,Non representativeness,0.02
35,Data Explanation,protodash,Diversity,483.60080501644745
36,Data Explanation,protodash,Non representativeness,0.02
37,Data Explanation,protodash,Diversity,483.60080501644745
38,Data Explanation,protodash,Non representativeness,0.02
39,Data Explanation,protodash,Diversity,483.60080501644745
40,Contrastive Explanation,shap,Faithfulness,0.6072735440399273
41,Contrastive Explanation,shap,Monotonicity,0.1
42,Contrastive Explanation,shap,Faithfulness,0.6201376113839955
43,Contrastive Explanation,shap,Monotonicity,0.3
44,Rationale Explanation,rulexai,Average rule length,4.906542056074766
45,Rationale Explanation,rulexai,Fidelity,0.2767718068535827
46,Rationale Explanation,rulexai,Average rule length,1.0
47,Rationale Explanation,rulexai,Fidelity,0.3666666666666666
48,Data Explanation,protodash,Non representativeness,0.03
49,Data Explanation,protodash,Diversity,483.60080501644745
50,Contrastive Explanation,shap,Faithfulness,0.786074340672716
51,Contrastive Explanation,shap,Monotonicity,0.0
52,Contrastive Explanation,shap,Faithfulness,0.7549129539770776
53,Contrastive Explanation,shap,Monotonicity,0.1
54,Data Explanation,protodash,Diversity,483.60080501644745
55,Data Explanation,protodash,Non representativeness,0.02
56,Data Explanation,protodash,Non representativeness,0.02
57,Data Explanation,protodash,Diversity,483.60080501644745
58,Case Based Explanation,protodash,Non representativeness,0.02
59,Case Based Explanation,protodash,Diversity,483.60080501644745
60,Case Based Explanation,protodash,Non representativeness,0.02
61,Case Based Explanation,protodash,Diversity,483.60080501644745
62,Rationale Explanation,rulexai,Average rule length,4.906542056074766
63,Rationale Explanation,rulexai,Fidelity,0.2767718068535827
64,Data Explanation,protodash,Non representativeness,0.03
65,Data Explanation,protodash,Diversity,483.60080501644745
66,Contrastive Explanation,shap,Faithfulness,0.7549129539770776
67,Contrastive Explanation,shap,Monotonicity,0.1
68,Rationale Explanation,rulexai,Average rule length,1.4
69,Rationale Explanation,rulexai,Fidelity,0.3999999999999999
70,Counterfactual Explanation,dice,Non representativeness,0.0333333333333333
71,Counterfactual Explanation,dice,Diversity,101.00860027834538
72,Counterfactual Explanation,dice,Non representativeness,0.0
73,Counterfactual Explanation,dice,Diversity,422.8073090621525
74,Counterfactual Explanation,dice,Non representativeness,0.0
75,Counterfactual Explanation,dice,Diversity,166.3904189317377
76,Data Explanation,protodash,Non representativeness,0.02
